byte_rate,packet_rate,avg_flow_number,avg_deltatime,source_entropy,destination_entropy,s-port_entropy,d_port_entropy,synack_ratio,modbus_rate,tcp_rate,ping_rate,other_rate,label
1239.5312972203749,18.897598750158174,30.376,0.052916776,0.024,0.028,0.032,0.032,0.035555555555555556,0.356,0.58,0.0,0.064,0
1363.0800533774614,20.93824966785655,91.192,0.047792812000000004,0.028,0.032,0.028,0.028,0.04484304932735426,0.324,0.604,0.0,0.072,0
1257.701269835906,19.200373562468034,153.384,0.05208562,0.024,0.024,0.032,0.032,0.03524229074889868,0.356,0.584,0.0,0.06,0
1257.0918109787556,19.182869605364637,213.8,0.052161160000000005,0.024,0.032,0.032,0.036,0.04504504504504504,0.344,0.584,0.0,0.072,0
1297.2636111088623,19.841902892457362,276.916,0.050399384,0.028,0.032,0.028,0.028,0.035398230088495575,0.348,0.588,0.0,0.064,0
1238.8679582487664,18.884030825083325,338.932,0.053680576,0.024,0.024,0.028,0.028,0.035398230088495575,0.36,0.58,0.0,0.06,0
1374.826190603879,21.147268052111595,396.124,0.047514056,0.028,0.036,0.032,0.032,0.04504504504504504,0.32,0.604,0.0,0.076,0
1245.5905094455322,18.96799825555114,459.144,0.052764712000000005,0.024,0.028,0.032,0.032,0.035555555555555556,0.356,0.58,0.0,0.064,0
1335.891147782518,20.027152011611264,516.82,0.050765476,0.032,0.036,0.032,0.032,0.04524886877828054,0.336,0.584,0.0,0.08,0
1380.661721659087,20.37576330665713,570.224,0.04907886000000001,0.032,0.036,0.032,0.032,0.03619909502262444,0.34,0.576,0.0,0.084,0
1291.9274805882026,19.344865245990096,636.204,0.052520516,0.028,0.032,0.036,0.036,0.03587443946188341,0.352,0.576,0.0,0.072,0
1372.2596749775246,20.712728294655626,701.556,0.049126188,0.032,0.036,0.032,0.032,0.04504504504504504,0.328,0.596,0.0,0.076,0
1317.742495690998,19.64082894668512,744.408,0.05091534,0.036,0.04,0.032,0.032,0.03636363636363636,0.348,0.564,0.0,0.088,0
1352.2674277911945,20.032404417385553,798.288,0.050749775999999996,0.04,0.044,0.04,0.04,0.03669724770642202,0.336,0.572,0.0,0.092,0
1379.5261455736463,20.586255380732503,874.956,0.04901547999999999,0.032,0.036,0.044,0.044,0.04524886877828054,0.328,0.592,0.0,0.08,0
1285.9630830265853,19.204944489644344,947.28,0.052070912,0.032,0.032,0.036,0.036,0.035398230088495575,0.356,0.58,0.0,0.064,0
1385.5808464294032,20.377387587937573,960.536,0.049111108,0.04,0.048,0.032,0.032,0.037209302325581395,0.332,0.564,0.0,0.104,0
1344.4619516944335,20.208963920370874,1055.108,0.049498400000000005,0.028,0.032,0.036,0.036,0.04524886877828054,0.332,0.588,0.0,0.08,0
1312.0727854132886,19.40936073096581,1114.024,0.051522531999999996,0.036,0.044,0.04,0.04,0.03587443946188341,0.348,0.576,0.0,0.076,0
1364.9299087233658,20.01715710569845,1152.268,0.05039642,0.036,0.04,0.032,0.032,0.0365296803652968,0.344,0.568,0.0,0.088,0
1383.6442451215137,20.89592009667624,1239.448,0.048689100000000006,0.032,0.032,0.036,0.036,0.04524886877828054,0.32,0.6,0.0,0.08,0
1281.5019903836615,19.20255919419296,1291.812,0.05210686800000001,0.032,0.04,0.036,0.036,0.03587443946188341,0.356,0.568,0.0,0.076,0
1275.9856015614616,19.156641868266,1357.844,0.052239020000000004,0.028,0.028,0.036,0.036,0.04484304932735426,0.352,0.58,0.0,0.068,0
1330.9785900158572,20.43007598108702,1432.076,0.048952300000000004,0.028,0.032,0.028,0.028,0.035555555555555556,0.332,0.6,0.0,0.068,0
1243.7611166453385,18.94129380856083,1491.936,0.053126551999999994,0.024,0.032,0.032,0.032,0.035555555555555556,0.356,0.58,0.0,0.064,0
1336.3949094987997,20.525817249781895,1563.296,0.048728888,0.024,0.024,0.028,0.028,0.044444444444444446,0.328,0.608,0.0,0.064,0
1256.8277146403768,19.194070168606856,1613.292,0.05210266,0.024,0.024,0.032,0.032,0.035398230088495575,0.352,0.588,0.0,0.06,0
1267.6227557153622,19.332948324111797,1680.32,0.052101864000000005,0.024,0.028,0.032,0.032,0.044642857142857144,0.352,0.58,0.0,0.068,0
1323.4950040326412,20.025040913161064,1721.044,0.04993847199999999,0.028,0.036,0.036,0.036,0.03587443946188341,0.34,0.584,0.0,0.076,0
1223.6460323443475,18.656553521137212,1813.968,0.054019344,0.024,0.024,0.028,0.028,0.03524229074889868,0.36,0.584,0.0,0.056,0
1375.2385158151167,21.149706505522833,1852.34,0.047548116,0.028,0.032,0.028,0.028,0.04484304932735426,0.324,0.604,0.0,0.072,0
1245.8081863730306,18.974780467482493,1912.1,0.0527272,0.024,0.032,0.032,0.032,0.03571428571428571,0.352,0.58,0.0,0.068,0
1297.1990802530715,19.84334394317248,1980.86,0.050772227999999996,0.028,0.032,0.028,0.028,0.04484304932735426,0.344,0.584,0.0,0.072,0
1252.7623812893632,19.161247801917455,2057.98,0.052189679999999995,0.024,0.024,0.028,0.028,0.03524229074889868,0.348,0.592,0.0,0.06,0
1257.0974393158308,19.172423122801227,2095.98,0.052161632,0.024,0.028,0.036,0.036,0.04484304932735426,0.352,0.58,0.0,0.068,0
1334.9946600213614,20.469099356353286,2170.132,0.048858587999999994,0.028,0.036,0.032,0.032,0.035555555555555556,0.332,0.6,0.0,0.068,0
1223.9975157350577,18.657361071505665,2236.764,0.053975068,0.024,0.024,0.028,0.028,0.035398230088495575,0.36,0.58,0.0,0.06,0
1371.4609029411629,21.09939850678712,2286.624,0.047774064,0.028,0.032,0.032,0.032,0.04484304932735426,0.32,0.608,0.0,0.072,0
1260.8571355952056,19.196972222825906,2340.128,0.052117699999999996,0.024,0.032,0.032,0.032,0.035555555555555556,0.356,0.576,0.0,0.068,0
1254.3523036559334,19.15626609126349,2418.52,0.05220296000000001,0.024,0.024,0.028,0.032,0.044642857142857144,0.352,0.584,0.0,0.064,0
1290.6621856225338,19.771173186619695,2488.98,0.05057968,0.028,0.032,0.028,0.028,0.035398230088495575,0.344,0.592,0.0,0.064,0
1232.8988510767497,18.774728194504927,2531.84,0.053286132,0.024,0.028,0.032,0.032,0.035555555555555556,0.356,0.58,0.0,0.064,0
1400.3462411568728,21.50673057434686,2572.62,0.04681906,0.028,0.036,0.032,0.032,0.04504504504504504,0.324,0.6,0.0,0.076,0
1239.3224230176163,18.919797615681734,2674.024,0.053396496,0.024,0.024,0.028,0.028,0.035398230088495575,0.356,0.584,0.0,0.06,0
1286.8840646910462,19.69760706378262,2743.388,0.050808464,0.024,0.024,0.028,0.028,0.044444444444444446,0.34,0.596,0.0,0.064,0
1268.1256238297708,19.30763739083086,2761.124,0.051793967999999996,0.028,0.04,0.032,0.032,0.03571428571428571,0.356,0.572,0.0,0.072,0
1318.5491612361045,19.686890247791816,2769.576,0.05114868,0.036,0.04,0.032,0.032,0.0365296803652968,0.34,0.572,0.0,0.088,0
