byte_rate,packet_rate,avg_flow_number,avg_deltatime,source_entropy,destination_entropy,s-port_entropy,d_port_entropy,synack_ratio,modbus_rate,tcp_rate,ping_rate,other_rate,label
1481.2711916792396,22.894454276340642,5.5,0.0436787,0.12,0.12,0.08,0.08,0.045454545454545456,0.3,0.62,0.0,0.08,0
1226.875707077173,18.66254498139904,18.4,0.05370792,0.12,0.12,0.08,0.08,0.044444444444444446,0.36,0.58,0.0,0.06,0
1143.5663954994193,17.248361923068163,29.1,0.05798146,0.12,0.14,0.1,0.1,0.045454545454545456,0.38,0.54,0.0,0.08,0
1141.8027600666176,17.31578344050072,41.86,0.05775565999999999,0.12,0.12,0.08,0.06,0.022727272727272728,0.38,0.54,0.0,0.08,0
1273.6109680379836,19.509971936856367,57.02,0.05146014,0.08,0.08,0.06,0.06,0.020833333333333332,0.36,0.62,0.0,0.02,0
1493.548521749342,22.935327422440754,66.32,0.043767499999999994,0.12,0.12,0.06,0.06,0.044444444444444446,0.32,0.62,0.0,0.06,0
1420.614757102086,21.943385188478313,81.06,0.04983908000000001,0.12,0.12,0.06,0.06,0.043478260869565216,0.32,0.62,0.0,0.06,0
1215.971008827337,18.474187311263098,92.36,0.05426632,0.12,0.12,0.06,0.08,0.045454545454545456,0.36,0.56,0.0,0.08,0
1482.0892467717533,22.89294480648368,104.86,0.04556672,0.12,0.12,0.08,0.08,0.044444444444444446,0.32,0.62,0.0,0.06,0
1433.688597901899,22.02963426401197,111.36,0.045524440000000006,0.14,0.16,0.08,0.08,0.046511627906976744,0.3,0.6,0.0,0.1,0
1144.3240036971013,17.354018861041876,127.48,0.05764004000000001,0.12,0.12,0.08,0.08,0.045454545454545456,0.38,0.54,0.0,0.08,0
1136.4032440464784,17.254832129463686,139.72,0.0579597,0.12,0.12,0.08,0.08,0.044444444444444446,0.38,0.56,0.0,0.06,0
1187.8002906481224,18.057164649560995,158.82,0.05538454000000001,0.08,0.08,0.08,0.08,0.0,0.38,0.6,0.0,0.02,0
1482.358016250526,22.897096327626286,166.28,0.04556772,0.12,0.12,0.06,0.06,0.044444444444444446,0.32,0.62,0.0,0.06,0
1487.964150105457,22.821536044562226,174.62,0.0438761,0.12,0.12,0.06,0.06,0.044444444444444446,0.32,0.6,0.0,0.08,0
1163.0506610457846,17.659439129149476,195.7,0.056783520000000004,0.12,0.12,0.06,0.08,0.044444444444444446,0.38,0.56,0.0,0.06,0
1511.35443933071,23.230163531059173,198.24,0.044014199999999996,0.12,0.14,0.1,0.1,0.045454545454545456,0.3,0.62,0.0,0.08,0
1451.5815994623179,22.46334880009777,216.1,0.04864901999999999,0.12,0.12,0.08,0.08,0.044444444444444446,0.3,0.64,0.0,0.06,0
1265.33755599532,19.224210817309633,228.02,0.05337848000000001,0.12,0.12,0.08,0.08,0.045454545454545456,0.36,0.56,0.0,0.08,0
