byte_rate,packet_rate,avg_flow_number,avg_deltatime,source_entropy,destination_entropy,s-port_entropy,d_port_entropy,synack_ratio,modbus_rate,tcp_rate,ping_rate,other_rate,label
1365.6,21.0,12.39047619047619,0.04754197142857143,0.05714285714285714,0.05714285714285714,0.047619047619047616,0.047619047619047616,0.0425531914893617,0.3238095238095238,0.6095238095238096,0.0,0.06666666666666667,0
1115.2,16.8,35.51190476190476,0.05732833333333334,0.07142857142857142,0.08333333333333333,0.05952380952380952,0.05952380952380952,0.02631578947368421,0.39285714285714285,0.5476190476190477,0.0,0.05952380952380952,0
1305.6,20.0,58.87,0.05188605999999999,0.06,0.06,0.04,0.04,0.044444444444444446,0.34,0.59,0.0,0.07,0
1352.8,20.8,84.125,0.048103413461538465,0.057692307692307696,0.057692307692307696,0.04807692307692308,0.04807692307692308,0.0425531914893617,0.3269230769230769,0.6153846153846154,0.0,0.057692307692307696,0
1136.4,17.2,104.47674418604652,0.058045616279069755,0.08139534883720931,0.09302325581395349,0.046511627906976744,0.046511627906976744,0.02631578947368421,0.38372093023255816,0.5348837209302325,0.0,0.08139534883720931,0
1352.8,20.8,130.48076923076923,0.047999259615384614,0.057692307692307696,0.057692307692307696,0.038461538461538464,0.038461538461538464,0.0425531914893617,0.3269230769230769,0.6153846153846154,0.0,0.057692307692307696,0
1317.6,20.2,156.35643564356437,0.04942529702970297,0.0594059405940594,0.0594059405940594,0.04950495049504951,0.04950495049504951,0.04395604395604396,0.33663366336633666,0.594059405940594,0.0,0.06930693069306931,0
1352.8,20.8,181.71153846153845,0.048298788461538456,0.057692307692307696,0.057692307692307696,0.04807692307692308,0.04807692307692308,0.0425531914893617,0.3269230769230769,0.6153846153846154,0.0,0.057692307692307696,0
1116.0,16.8,200.29761904761904,0.057153535714285705,0.07142857142857142,0.08333333333333333,0.05952380952380952,0.05952380952380952,0.02666666666666667,0.39285714285714285,0.5357142857142857,0.0,0.07142857142857142,0
1369.2,21.0,225.7047619047619,0.04906624761904762,0.05714285714285714,0.06666666666666667,0.047619047619047616,0.047619047619047616,0.0425531914893617,0.3238095238095238,0.6095238095238096,0.0,0.06666666666666667,0
